==321246== NVPROF is profiling process 321246, command: python3 main_v1.py
==321246== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==321246== Profiling application: python3 main_v1.py
==321246== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"GPU activities",0.007271,0.006364,1734,0.003670,0.002944,0.004480,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=2, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_product_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorBroadcastingOp<Eigen::array<long, unsigned long=2> const , Eigen::TensorMap<Eigen::Tensor<float const , int=2, int=1, int>, int=16, Eigen::MakePointer> const > const > const > const , Eigen::GpuDevice>, int>(float, int=2)"
"GPU activities",0.006122,0.005358,4,1.339607,0.054911,2.653440,"void im2col4d_kernel<float, int>(im2col4d_params, cudnnConvolutionStruct, cudnnTensor4dStruct, float const *, float*, int)"
"GPU activities",0.005973,0.005228,5157,0.001013,0.000800,0.022016,"[CUDA memset]"
"GPU activities",0.005557,0.004864,1720,0.002827,0.001344,0.014912,"cudnn::maxwell::gemm::computeBOffsetsKernel(cudnn::maxwell::gemm::ComputeBOffsetsParams)"
"GPU activities",0.005287,0.004628,1720,0.002690,0.001408,0.016000,"cudnn::maxwell::gemm::computeWgradOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)"
"GPU activities",0.005173,0.004527,1716,0.002638,0.002048,0.010784,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorSelectOp<Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1)"
"GPU activities",0.004805,0.004206,876,0.004800,0.004000,0.013568,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=3, int=1, long>, int=16, Eigen::MakePointer>, Eigen::TensorGeneratorOp<tensorflow::generator::OneGenerator<float, int>, Eigen::TensorMap<Eigen::Tensor<float, int=3, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=3)"
"GPU activities",0.004536,0.003970,876,0.004531,0.004064,0.005440,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_logistic_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1)"
"GPU activities",0.004396,0.003848,1716,0.002242,0.001599,0.007840,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_left<bool, float, Eigen::internal::greater_equal<float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1)"
"GPU activities",0.004393,0.003845,1752,0.002194,0.001631,0.009568,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_left<float, float, Eigen::internal::scalar_max_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1)"
"GPU activities",0.004259,0.003728,1786,0.002087,0.001504,0.082271,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_product_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1)"
"GPU activities",0.004135,0.003620,1752,0.002065,0.001696,0.015040,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_left<float, float, Eigen::internal::scalar_difference_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1)"
"GPU activities",0.003855,0.003374,876,0.003851,0.003392,0.005472,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_difference_op<float, float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=1)"
"GPU activities",0.003562,0.003117,1747,0.001784,0.001151,0.085215,"[CUDA memcpy DtoD]"
"GPU activities",0.003470,0.003037,858,0.003539,0.003263,0.007840,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseBinaryOp<Eigen::internal::scalar_sigmoid_gradient_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const , Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=1)"
"GPU activities",0.003376,0.002955,859,0.003439,0.003072,0.005888,"void tensorflow::functor::CleanupSegments<float*, float*, cub::Sum>(float*, float*, int, int, int, cub::Sum, std::iterator_traits<tensorflow::functor::CleanupSegments<float*, float*, cub::Sum>>::value_type)"
"GPU activities",0.002631,0.002303,880,0.002617,0.001760,0.013536,"cudnn::maxwell::gemm::computeOffsetsKernel(cudnn::maxwell::gemm::ComputeOffsetsParams)"
"GPU activities",0.002311,0.002023,876,0.002308,0.002048,0.006720,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_right<float, float, Eigen::internal::scalar_difference_op<float, float>>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1)"
"GPU activities",0.002115,0.001851,2,0.925509,0.922517,0.928501,"void cudnn::detail::implicit_convolve_sgemm<float, float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>(int, int, int, float const *, int, float*, cudnn::detail::implicit_convolve_sgemm<float, float, int=128, int=5, int=5, int=3, int=3, int=3, int=1, bool=1, bool=0, bool=1>*, kernel_conv_params, int, float, float, int, float, float, int, int)"
"GPU activities",0.001288,0.001128,1,1.127570,1.127570,1.127570,"maxwell_cgemm_32x64_tn"
"GPU activities",0.001236,0.001081,2,0.540697,0.536665,0.544729,"void cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>(int, int, int, float const *, int, float const , int, cudnn::detail::explicit_convolve_sgemm<float, int, int=128, int=5, int=5, int=3, int=3, int=3, int=0, bool=1>*, kernel_conv_params, int, int, float, float, int, float const *, float const *)"
"GPU activities",0.000862,0.000754,3,0.251421,0.002432,0.748823,"void flip_filter<float, float>(float*, float const *, int, int, int, int)"
"GPU activities",0.000744,0.000651,2,0.325708,0.322684,0.328732,"cudnn_maxwell_cgemm_64x64_tn_batched"
"GPU activities",0.000724,0.000634,2,0.316796,0.312636,0.320956,"cudnn_maxwell_cgemm_64x64_nt_batched"
"GPU activities",0.000228,0.000199,72,0.002767,0.001696,0.005728,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_rsqrt_op<float>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1)"
"GPU activities",0.000185,0.000162,36,0.004497,0.001664,0.005440,"void tensorflow::functor::BlockReduceKernel<float*, float*, int=256, tensorflow::functor::Sum<float>>(float*, float*, int, float, std::iterator_traits<tensorflow::functor::BlockReduceKernel<float*, float*, int=256, tensorflow::functor::Sum<float>>>::value_type)"
"GPU activities",0.000170,0.000149,6,0.024783,0.008000,0.080831,"void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tensorflow::random::PhiloxRandom, float>>)"
"GPU activities",0.000125,0.000110,27,0.004059,0.003840,0.004320,"void tensorflow::functor::BlockReduceKernel<float*, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, int=256, tensorflow::functor::Sum<float>>(float*, float, int, float, std::iterator_traits<tensorflow::functor::BlockReduceKernel<float*, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, int=256, tensorflow::functor::Sum<float>>>::value_type)"
"GPU activities",0.000119,0.000104,27,0.003850,0.003264,0.004320,"void tensorflow::functor::CleanupSegments<float*, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, tensorflow::functor::Sum<float>>(float*, float, int, int, int, float, std::iterator_traits<tensorflow::functor::CleanupSegments<float*, tensorflow::TransformOutputIterator<float, float, tensorflow::functor::DividesBy<float, float>, long>, tensorflow::functor::Sum<float>>>::value_type)"
"GPU activities",0.000094,0.000082,9,0.009105,0.008672,0.009824,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<__int64, int=3, int=1, long>, int=16, Eigen::MakePointer>, Eigen::TensorConversionOp<__int64, Eigen::TensorTupleReducerOp<Eigen::internal::ArgMaxTupleReducer<Eigen::Tuple<long, float>>, Eigen::array<long, unsigned long=1> const , Eigen::TensorMap<Eigen::Tensor<float const , int=4, int=1, long>, int=16, Eigen::MakePointer> const > const > const > const , Eigen::GpuDevice>, long>(__int64, int=3)"
"GPU activities",0.000067,0.000059,36,0.001635,0.001376,0.002400,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16, Eigen::MakePointer>, Eigen::TensorConversionOp<float, Eigen::TensorMap<Eigen::Tensor<int const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=1)"
"GPU activities",0.000057,0.000050,1,0.049951,0.049951,0.049951,"void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>(tensorflow::random::PhiloxRandom, tensorflow::random::PhiloxRandomResultElementType*, __int64, tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::NormalDistribution<tensorflow::random::PhiloxRandom, float>>)"
"GPU activities",0.000023,0.000020,9,0.002204,0.001760,0.002783,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<int, int=1, int=1, long>, int=16, Eigen::MakePointer>, Eigen::TensorConversionOp<int, Eigen::TensorMap<Eigen::Tensor<__int64 const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(int, int=1)"
"GPU activities",0.000020,0.000017,9,0.001902,0.001791,0.002400,"void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, long>, int=16, Eigen::MakePointer>, Eigen::TensorConversionOp<float, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, long>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, long>(float, int=1)"
"GPU activities",0.000004,0.000003,1,0.003104,0.003104,0.003104,"compute_gemm_pointers(float2**, float2 const *, int, float2 const *, int, float2 const *, int, int)"
"API calls",41.412216,261.061870,117164,2.228174,0.001554,100.981199,"cuCtxSynchronize"
"API calls",23.910428,150.730911,485329,0.310574,0.005361,32972.840158,"cudaLaunchKernel"
"API calls",14.262199,89.908650,937854,0.095866,0.000308,32972.695991,"cuEventRecord"
"API calls",8.169821,51.502409,234444,0.219678,0.004477,32972.601614,"cuMemcpyHtoDAsync"
"API calls",6.386005,40.257263,8,5032.157830,0.001765,40257.227554,"cudaStreamCreateWithFlags"
"API calls",1.786147,11.259837,232726,0.048382,0.005011,105.531922,"cuMemcpyDtoHAsync"
"API calls",1.523282,9.602745,19000844,0.000505,0.000319,3.108782,"cuEventQuery"
"API calls",0.921184,5.807125,1747,3.324055,0.007257,5773.201764,"cudaMemcpyAsync"
"API calls",0.386309,2.435286,9,270.587377,112.785984,524.114740,"cuMemAlloc"
"API calls",0.378275,2.384638,10,238.463819,121.118381,565.157386,"cudaMalloc"
"API calls",0.271109,1.709068,468889,0.003644,0.000419,105.417857,"cuStreamWaitEvent"
"API calls",0.270952,1.708078,4,427.019526,325.034495,534.544160,"cuMemHostAlloc"
"API calls",0.110225,0.694855,5,138.970903,0.001160,694.836974,"cudaFree"
"API calls",0.100207,0.631701,2,315.850561,315.760110,315.941013,"cuDevicePrimaryCtxRetain"
"API calls",0.046409,0.292564,38,7.699064,0.004042,53.931104,"cuEventSynchronize"
"API calls",0.020559,0.129604,21773,0.005952,0.000391,2.615788,"cudaEventRecord"
"API calls",0.019887,0.125368,1,125.368473,125.368473,125.368473,"cudaHostAlloc"
"API calls",0.007775,0.049014,4290,0.011425,0.003519,0.478115,"cuMemsetD32Async"
"API calls",0.005241,0.033039,29572,0.001117,0.000398,0.780123,"cudaStreamWaitEvent"
"API calls",0.003175,0.020016,1739,0.011510,0.000893,0.272308,"cudaEventCreate"
"API calls",0.002771,0.017469,32,0.545920,0.421184,1.329580,"cudaGetDeviceProperties"
"API calls",0.001570,0.009897,866,0.011428,0.004610,0.105360,"cudaMemsetAsync"
"API calls",0.001078,0.006795,1739,0.003907,0.000803,0.144717,"cudaEventDestroy"
"API calls",0.000938,0.005915,26006,0.000227,0.000090,0.584015,"cudaGetLastError"
"API calls",0.000843,0.005313,776,0.006846,0.000106,0.726409,"cuDeviceGetAttribute"
"API calls",0.000604,0.003809,10,0.380887,0.331769,0.439488,"cuDeviceTotalMem"
"API calls",0.000249,0.001568,4,0.392070,0.372590,0.429363,"cuMemGetInfo"
"API calls",0.000156,0.000983,2,0.491386,0.254459,0.728314,"cuDeviceGetProperties"
"API calls",0.000097,0.000613,22,0.027877,0.001507,0.270419,"cuStreamCreate"
"API calls",0.000088,0.000556,10,0.055554,0.038089,0.095226,"cuDeviceGetName"
"API calls",0.000052,0.000329,74,0.004439,0.000167,0.021051,"cuCtxSetCurrent"
"API calls",0.000037,0.000233,111,0.002102,0.000305,0.027445,"cuEventCreate"
"API calls",0.000019,0.000121,2,0.060689,0.019776,0.101603,"cuCtxEnablePeerAccess"
"API calls",0.000016,0.000098,18,0.005464,0.001569,0.019411,"cudaBindTexture"
"API calls",0.000014,0.000087,2,0.043628,0.024263,0.062994,"cudaMemcpy"
"API calls",0.000013,0.000083,89,0.000933,0.000281,0.011799,"cuEventDestroy"
"API calls",0.000008,0.000053,44,0.001194,0.000357,0.009699,"cudaEventCreateWithFlags"
"API calls",0.000008,0.000052,4,0.012906,0.006405,0.029276,"cuDeviceCanAccessPeer"
"API calls",0.000007,0.000047,1,0.046697,0.046697,0.046697,"cuMemsetD32"
"API calls",0.000005,0.000033,38,0.000874,0.000726,0.001792,"cuEventElapsedTime"
"API calls",0.000003,0.000022,40,0.000542,0.000238,0.002618,"cudaDeviceGetAttribute"
"API calls",0.000002,0.000016,4,0.003914,0.002533,0.006724,"cudaGetDevice"
"API calls",0.000002,0.000014,18,0.000782,0.000453,0.001172,"cudaUnbindTexture"
"API calls",0.000002,0.000013,4,0.003255,0.001807,0.005801,"cudaStreamCreateWithPriority"
"API calls",0.000002,0.000010,12,0.000804,0.000132,0.003373,"cuDeviceGet"
"API calls",0.000001,0.000008,1,0.007820,0.007820,0.007820,"cudaHostGetDevicePointer"
"API calls",0.000001,0.000007,4,0.001724,0.001067,0.002979,"cuDeviceGetPCIBusId"
"API calls",0.000001,0.000006,2,0.003128,0.002641,0.003615,"cudaGetDeviceCount"
"API calls",0.000001,0.000006,14,0.000416,0.000146,0.002033,"cuDeviceGetCount"
"API calls",0.000001,0.000005,7,0.000652,0.000155,0.001071,"cuDriverGetVersion"
"API calls",0.000001,0.000004,4,0.001028,0.000871,0.001247,"cuInit"
"API calls",0.000001,0.000004,1,0.004044,0.004044,0.004044,"cudaDeviceGetStreamPriorityRange"
"API calls",0.000000,0.000003,3,0.000906,0.000308,0.002002,"cudaSetDevice"
"API calls",0.000000,0.000002,8,0.000273,0.000163,0.000524,"cuDeviceGetUuid"
"API calls",0.000000,0.000002,2,0.000785,0.000558,0.001013,"cuDevicePrimaryCtxGetState"
"API calls",0.000000,0.000001,8,0.000176,0.000114,0.000383,"cuCtxGetDevice"
"API calls",0.000000,0.000001,2,0.000455,0.000361,0.000549,"cuDeviceComputeCapability"
"API calls",0.000000,0.000001,2,0.000280,0.000149,0.000411,"cuCtxGetCurrent"
